subject;tx_engj;enviados;abertura;cliques;optout;p_abertura;p_cliques;p_optout;ciclo;ano;ciclo_ano;promo_categoria;tipo_acao;tipo_desconto;id_campanha
Ganhe Mais com Boti!;1,211343264;35694;3499;374;4;0,09802768;0,106887682;0,001143184;2;2021;202102;Ganhe Mais;Ganhe Mais;Brinde;202102_01_CRM_GANHEMAIS_PROXIMA_FAIXA
😴 Prepare-se para oferecer noites tranquilas...;1,087371106;78905;6460;229;7;0,081870604;0,035448916;0,001083591;2;2021;202102;Cuidados;Foco/SubFoco;25% Lucro Total;202102_03_COM_CUID_LCT_CDBEM_COMP_CDBEM_ACALMA
😴 Prepare-se para oferecer noites tranquilas...;1,006249411;127890;9340;280;19;0,073031511;0,029978587;0,002034261;2;2021;202102;Cuidados;Foco/SubFoco;25% Lucro Total;202102_03_COM_CUID_LCT_CDBEM_PROP_ALTO_INOV31_40
😴 Prepare-se para oferecer noites tranquilas...;0,980713178;121928;8338;245;21;0,06838462;0,029383545;0,00251859;2;2021;202102;Cuidados;Foco/SubFoco;25% Lucro Total;202102_03_COM_CUID_LCT_CDBEM_PROP_BAIXO_INOV21_30
😴 Prepare-se para oferecer noites tranquilas...;1,024778357;77619;6508;268;17;0,08384545;0,041180086;0,00261217;2;2021;202102;Cuidados;Foco/SubFoco;25% Lucro Total;202102_03_COM_CUID_LCT_CDBEM_UPSELL_NCOMP_VOL400
🧔👦 De cara nova! Linha Men está + moderna e desejável!;1,080117341;203865;34168;858;54;0,167601109;0,025111215;0,001580426;2;2021;202102;Perfumaria;Foco/SubFoco;25% Lucro Total;202102_04_COM_PERF_LCT_MEN_COMP_QUASAR_N_COMP_MEN
🧔👦 De cara nova! Linha Men está + moderna e desejável!;1,090300326;132973;22219;521;30;0,167094072;0,0234484;0,001350196;2;2021;202102;Perfumaria;Foco/SubFoco;25% Lucro Total;202102_04_COM_PERF_LCT_MEN_RPCK_COMP_CUID_MASC
🧔👦 De cara nova! Linha Men está + moderna e desejável!;1,107338041;246776;42394;949;43;0,171791422;0,022385243;0,001014294;2;2021;202102;Perfumaria;Foco/SubFoco;25% Lucro Total;202102_04_COM_PERF_LCT_MEN_RPCK_COMP_MEN
🧔👦 De cara nova! Linha Men está + moderna e desejável!;1,05666117;130056;20845;535;44;0,160277111;0,025665627;0,002110818;2;2021;202102;Perfumaria;Foco/SubFoco;25% Lucro Total;202102_04_COM_PERF_LCT_MEN_RPCK_PROP_BAIXO
💄 Aqui tem make para todos os gostos! Vem conferir!;0,894204763;107715;3303;134;14;0,030664253;0,04056918;0,004238571;2;2021;202102;Maquiagem;Lucro Extra;Desc Consumidor;202102_06_COM_MAKE_MAKEB_PROP_BAIXA
💄 Aqui tem make para todos os gostos! Vem conferir!;1,058912646;100910;10901;292;16;0,108026955;0,026786533;0,001467755;2;2021;202102;Maquiagem;Lucro Extra;Desc Consumidor;202102_06_COM_MAKE_MAKEB_REPQU_JORNAD_COMP
💄 Aqui tem make para todos os gostos! Vem conferir!;1,037004176;54163;6611;233;19;0,122057493;0,03524429;0,002873998;2;2021;202102;Maquiagem;Lucro Extra;Desc Consumidor;202102_06_COM_MAKE_MAKEB_REPQU_JORNAD_N_COMP
💚 Abra esse e-mail com cuidado...;1,13564904;82691;15501;570;23;0,187456918;0,036771821;0,001483775;2;2021;202102;Cuidados;Lucro Extra;30% Lucro Total;202102_07_COM_CUID_ALAVANC_ALTO_CABELOS_BE20
💚 Abra esse e-mail com cuidado...;1,141977126;182908;31955;1279;40;0,174705316;0,040025035;0,00125176;2;2021;202102;Cuidados;Lucro Extra;30% Lucro Total;202102_07_COM_CUID_COMP_MATCH_N_COMP_3_CICLOS
💚 Abra esse e-mail com cuidado...;1,177303255;123852;22344;931;21;0,180408875;0,041666667;0,00093985;2;2021;202102;Cuidados;Lucro Extra;30% Lucro Total;202102_07_COM_CUID_MATCH_PROP_BAIXA_INOV21_30
💚 Abra esse e-mail com cuidado...;1,223179009;115105;23766;1240;19;0,206472351;0,052175377;0,000799461;2;2021;202102;Cuidados;Lucro Extra;Desc Consumidor;202102_07_COM_CUID_TOP1_QT_CUIDESEBEM
😍 Perfumaria feminina que você ama! Vem ver!;1,027481163;190233;14572;784;43;0,0766008;0,053801812;0,002950865;2;2021;202102;Perfumaria;Lucro Extra;Desc Consumidor;202102_08_COM_PERF_COMP_MAIS_PERF_FEM
😍 Perfumaria masculina que você ama! Vem ver!;1,044432302;117256;8084;536;22;0,068943167;0,06630381;0,002721425;2;2021;202102;Perfumaria;Lucro Extra;Desc Consumidor;202102_08_COM_PERF_COMP_MAIS_PERF_MASC
😍 Perfumaria de Malbec que você ama! Vem ver!;0,998744985;123797;7223;456;27;0,058345517;0,063131663;0,003738059;2;2021;202102;Perfumaria;Lucro Extra;Desc Consumidor;202102_08_COM_PERF_MALBEC_PROP_ALTA_NAO_PROD
😍 Perfumaria de Malbec que você ama! Vem ver!;1,096466164;128679;9130;570;13;0,070951748;0,062431544;0,001423877;2;2021;202102;Perfumaria;Lucro Extra;Desc Consumidor;202102_08_COM_PERF_MALBEC_PROP_ALTA_PROD_POT_VIP
🧒 Caprichamos nos descontos! Vem conferir!;1,07848295;211525;22072;853;34;0,104347004;0,038646249;0,001540413;2;2021;202102;Infantil;Lucro Extra;Desc Consumidor;202102_09_COM_INFA_ALAVANC_INFANT_BE25
🧒 Caprichamos nos descontos! Vem conferir!;1,159079259;108647;13175;626;12;0,121264278;0,047514231;0,000910816;2;2021;202102;Infantil;Lucro Extra;Desc Consumidor;202102_09_COM_INFA_COMP_3_4_SUBCAT
🧒 Caprichamos nos descontos! Vem conferir!;1,019014084;145416;10587;551;32;0,072804918;0,052044961;0,003022575;2;2021;202102;Infantil;Lucro Extra;Desc Consumidor;202102_09_COM_INFA_COMP_INFA_N_COMP_3_CICLOS
🤑 O que andam falando de Quasar e Coffee?;1,055386848;233708;21665;599;28;0,092701148;0,027648281;0,001292407;2;2021;202102;Perfumaria;App;25% Lucro Total;202102_10_COM_APP_COMP_COFFEE_COMP_APP
🤑 O que andam falando de Quasar e Coffee?;1,123167951;54177;5380;347;9;0,099304133;0,064498141;0,001672862;2;2021;202102;Perfumaria;App;25% Lucro Total;202102_10_COM_APP_COMP_COFFEE_N_COMP_APP
🤑 O que andam falando de Quasar e Coffee?;1,052765251;145751;16229;370;22;0,111347435;0,022798694;0,001355598;2;2021;202102;Perfumaria;App;25% Lucro Total;202102_10_COM_APP_PROP_ALTA_COFFEE_APP
🤑 O que andam falando de Quasar e Coffee?;1,045774012;97201;5527;238;8;0,056861555;0,043061335;0,00144744;2;2021;202102;Perfumaria;App;25% Lucro Total;202102_10_COM_APP_PROP_ALTA_COFFEE_N_APP
🤑 O que andam falando de Quasar e Coffee?;1,197515213;71140;13384;821;17;0,18813607;0,061341901;0,001270173;2;2021;202102;Perfumaria;App;25% Lucro Total;202102_10_COM_APP_PROP_BAIXA_COFFEE_APP
🤑 O que andam falando de Quasar e Coffee?;1,112066085;102241;8974;996;24;0,087773007;0,110987297;0,002674393;2;2021;202102;Perfumaria;App;25% Lucro Total;202102_10_COM_APP_PROP_BAIXA_COFFEE_N_APP
😴 Prepare-se para oferecer noites tranquilas...;1,070112886;42614;4251;127;6;0,099755949;0,029875323;0,001411433;2;2021;202102;Cuidados;Ações Exclusivas;Brinde;202102_16_CRM_AMOSTRAGEM_PRM_BOA_NOITE_COMP
Tem promos incríveis nesse e-mail 🤑;1,155491162;226852;47996;2219;69;0,211574066;0,046233019;0,00143762;2;2021;202102;Maquiagem;EAM;Outros;202102_18_COM_EU_AMO_MAKE_NAO_PROD_ENGJ60
Tem promos incríveis nesse e-mail 🤑;1,111358135;407326;55895;2119;69;0,137224238;0,037910368;0,001234457;2;2021;202102;Maquiagem;EAM;Outros;202102_18_COM_EU_AMO_MAKE_PROD_POTEN_ENGJ60
🧔👦 De cara nova! Linha Men está + moderna e desejável!;1,152992555;283609;82898;1705;73;0,292296789;0,020567444;0,0008806;2;2021;202102;Cuidados;Lucro Extra;25% Lucro Total;202102_19_COM_REPIQ_MEN_NCOMP_MEN_C02_ENGJ30_EMKT
O Ganhe Mais do Ciclo 03 está incrível!;1,198068986;22016;2355;271;4;0,10696766;0,11507431;0,001698514;3;2021;202103;Ganhe Mais;Ganhe Mais;Brinde;202103_01_CRM_GANHEMAIS_PROXIMA_FAIXA
NOME, é você que gosta de promo em Arbo?;1,168006935;20363;3203;101;3;0,157295094;0,031532938;0,000936622;3;2021;202103;Perfumaria;Ações Exclusivas;25% Lucro Total;202103_03_CRM_COMBO_ARBO_ALAVANC_COSSEN
NOME, é você que gosta de promo em Arbo?;1,176335938;63698;10488;299;7;0,164651951;0,028508772;0,000667429;3;2021;202103;Perfumaria;Ações Exclusivas;25% Lucro Total;202103_03_CRM_COMBO_ARBO_COMP_QUASAR_COSSEN
CUIDADO: esse e-mail tem lucro extra!;1,200877569;50844;9448;522;11;0,185823303;0,055249788;0,001164268;3;2021;202103;Perfumaria;Ações Exclusivas;35% Lucro Total;202103_04_CRM_COFFE_ALAVANC_COFFEE_BE20
CUIDADO: esse e-mail tem lucro extra!;1,209402366;55588;11764;745;16;0,211628409;0,0633288;0,001360082;3;2021;202103;Perfumaria;Ações Exclusivas;35% Lucro Total;202103_04_CRM_COFFE_ALAVANC_N_COMP_COFFE_PERF_FEM
CUIDADO: esse e-mail tem lucro extra!;1,173930876;49624;9762;400;12;0,196719329;0,04097521;0,001229256;3;2021;202103;Perfumaria;Ações Exclusivas;35% Lucro Total;202103_04_CRM_COFFE_ALAVANC_N_COMP_COFFE_PERF_MASC
NOME, que tal lucrar mais com Malbec?;1,049154154;19721;1673;115;6;0,084833426;0,068738793;0,003586372;3;2021;202103;Perfumaria;Ações Exclusivas;35% Lucro Total;202103_05_CRM_CESSADOS_I7_I13_ADIMPL
NOME, que tal lucrar mais com Malbec?;0,946552663;48322;2675;203;20;0,055357808;0,07588785;0,007476636;3;2021;202103;Perfumaria;Ações Exclusivas;35% Lucro Total;202103_05_CRM_CESSADOS_I7_I13_COMP_MALBEC
NOME, que tal lucrar mais com Malbec?;1,04971588;63955;5311;334;16;0,083042764;0,062888345;0,003012615;3;2021;202103;Perfumaria;Ações Exclusivas;35% Lucro Total;202103_06_CRM_INATIVOS_I4_I6_ADIMPL
NOME, que tal lucrar mais com Malbec?;1,026387739;51856;2542;163;6;0,049020364;0,064122738;0,002360346;3;2021;202103;Perfumaria;Ações Exclusivas;35% Lucro Total;202103_06_CRM_INATIVOS_I4_I6_COMP_MALBEC
Quasar + Desconto = você lucrando muito!;1,174144172;38746;6994;279;8;0,180508956;0,039891335;0,001143838;3;2021;202103;Perfumaria;Ações Exclusivas;35% Lucro Total;202103_08_CRM_QUASAR_ALAVANC_BE20
Quasar + Desconto = você lucrando muito!;1,170051835;100765;20548;800;23;0,203920012;0,03893323;0,00111933;3;2021;202103;Perfumaria;Ações Exclusivas;35% Lucro Total;202103_08_CRM_QUASAR_COMP_ARBO_ULT_2C
Queremos falar com você, NOME!;1,203574655;13614;1477;64;0;0,108491259;0,043331077;0;3;2021;202103;Perfumaria;Ações Exclusivas;30% Lucro Total;202103_09_CRM_THE_BLEND_ALAVANC_BE15_COMP_BLEND
Queremos falar com você, NOME!;1,09669986;77358;7557;304;10;0,097688668;0,040227604;0,001323276;3;2021;202103;Perfumaria;Ações Exclusivas;30% Lucro Total;202103_09_CRM_THE_BLEND_ALAVANC_BE15_COMP_MALBEC
NOME, sabe quem tá de roupa nova?;0,934560874;97335;4708;117;12;0,048369035;0,024851317;0,002548853;3;2021;202103;Maquiagem;Foco/SubFoco;Desc Consumidor;202103_12_COM_LCT_RPCK_INTENS_COMP_GLIT_MANU_N_EAM
NOME, sabe quem tá de roupa nova?;0,928425908;77549;3725;93;10;0,048034146;0,024966443;0,002684564;3;2021;202103;Maquiagem;Foco/SubFoco;Desc Consumidor;202103_12_COM_LCT_RPCK_INTENS_COMP_INOV21_40_N_EAM
NOME, sabe quem tá de roupa nova?;0,980492988;105405;7924;138;13;0,075176699;0,017415447;0,001640586;3;2021;202103;Maquiagem;Foco/SubFoco;Desc Consumidor;202103_12_COM_LCT_RPCK_INTENS_COMP_INT_EAM_N_PRD
NOME, sabe quem tá de roupa nova?;0,968501742;67806;5307;90;10;0,07826741;0,016958734;0,001884304;3;2021;202103;Maquiagem;Foco/SubFoco;Desc Consumidor;202103_12_COM_LCT_RPCK_INTENS_COMP_INT_EAM_POTEN
NOME, sabe quem tá de roupa nova?;0,925508115;113684;9382;112;22;0,082527005;0,011937753;0,002344916;3;2021;202103;Maquiagem;Foco/SubFoco;Desc Consumidor;202103_12_COM_LCT_RPCK_INTENS_COMP_INT_EAM_PRD_VIP
NOME, sabe quem tá de roupa nova?;1,066913068;106323;14560;301;19;0,136941207;0,020673077;0,001304945;3;2021;202103;Maquiagem;Foco/SubFoco;Desc Consumidor;202103_12_COM_LCT_RPCK_INTENS_REPQU_JRND_MKE_N_EAM
🐆 A Marília Mendonça tem uma novidade pra você!;0,991429229;93648;5923;215;15;0,06324748;0,036299173;0,0025325;3;2021;202103;Perfumaria;Foco/SubFoco;Desc Consumidor;202103_13_COM_LCT_GLAMOUR_ALAVANC_BE25
🐆 A Marília Mendonça tem uma novidade pra você!;0,999882317;198759;12779;497;32;0,064293944;0,038891932;0,002504108;3;2021;202103;Perfumaria;Foco/SubFoco;Desc Consumidor;202103_13_COM_LCT_GLAMOUR_COMP_GLAMR_INOV21_30
🐆 A Marília Mendonça tem uma novidade pra você!;1,009979793;109056;6853;268;15;0,062839275;0,03910696;0,002188822;3;2021;202103;Perfumaria;Foco/SubFoco;Desc Consumidor;202103_13_COM_LCT_GLAMOUR_COMP_GLAMR_INOV31_40
🐆 A Marília Mendonça tem uma novidade pra você!;1,020408055;65865;4224;176;9;0,064131177;0,041666667;0,002130682;3;2021;202103;Perfumaria;Foco/SubFoco;Desc Consumidor;202103_13_COM_LCT_GLAMOUR_N_COMP_GLAMR_INOV21_30
🐆 A Marília Mendonça tem uma novidade pra você!;1,033287173;38784;2346;94;4;0,060488861;0,040068201;0,00170503;3;2021;202103;Perfumaria;Foco/SubFoco;Desc Consumidor;202103_13_COM_LCT_GLAMOUR_N_COMP_GLAMR_INOV31_40
🐆 A Marília Mendonça tem uma novidade pra você!;1,068275191;23623;1532;92;3;0,064852051;0,060052219;0,001958225;3;2021;202103;Perfumaria;Foco/SubFoco;Desc Consumidor;202103_13_COM_LCT_GLAMOUR_TOP_COMP_GLAMOUR
💚 Essa é para quem ama os itens de Cuidados do Boti...;1,058419479;92505;7461;266;11;0,0806551;0,035652057;0,001474333;3;2021;202103;Cuidados;Lucro Extra;Desc Consumidor;202103_14_COM_LCT_CUID_ALIVIO_COMP_CUID_FACIAIS
💚 Essa é para quem ama os itens de Cuidados do Boti...;1,01095615;126657;9294;279;18;0,073379284;0,030019367;0,001936733;3;2021;202103;Cuidados;Lucro Extra;Desc Consumidor;202103_14_COM_LCT_CUID_ALIVIO_COMP_NOIT_ACALMA
💚 Essa é para quem ama os itens de Cuidados do Boti...;0,964120031;105980;7277;250;26;0,068663899;0,034354817;0,003572901;3;2021;202103;Cuidados;Lucro Extra;Desc Consumidor;202103_14_COM_LCT_CUID_ALIVIO_COMP_REFIL_NE
💚 Essa é para quem ama os itens de Cuidados do Boti...;0,994896986;130475;9136;390;29;0,070021077;0,042688266;0,003174256;3;2021;202103;Cuidados;Lucro Extra;Desc Consumidor;202103_14_COM_LCT_CUID_ALIVIO_PROP_BAIXO
😍 Perfumaria Boti em promoção, NOME!;1,1183139;197358;25918;1160;36;0,131324801;0,04475654;0,001388996;3;2021;202103;Perfumaria;Lucro Extra;Desc Consumidor;202103_15_COM_PERF_ALAVANC_PERF_BE25_ENGJ60
😍 Perfumaria Boti em promoção, NOME!;1,220993911;137582;23984;1019;13;0,17432513;0,042486658;0,000542028;3;2021;202103;Perfumaria;Lucro Extra;Desc Consumidor;202103_15_COM_PERF_COMP_20_MARCAS_MAIS_ENGJ60
😍 Perfumaria Boti em promoção, NOME!;1,147100575;34791;2774;292;5;0,079733264;0,105263158;0,001802451;3;2021;202103;Perfumaria;Lucro Extra;Desc Consumidor;202103_15_COM_PERF_PCT_DESC_MEDIO_25_MAIS
😍 Perfumaria Boti em promoção, NOME!;1,108950241;205561;20063;777;20;0,097601199;0,038728007;0,00099686;3;2021;202103;Perfumaria;Lucro Extra;Desc Consumidor;202103_15_COM_PERF_REPIQUE_BOTI_PROMO
⚡ Promo RE LÂM PA GO com Boti Baby!;1,228858014;113187;23438;1870;27;0,20707325;0,079784965;0,001151975;3;2021;202103;Infantil;Lucro Extra;25% Lucro Total;202103_16_COM_LCT_INFA_CIDAD_MTCRIANCA_N_VND_INF
⚡ Promo RE LÂM PA GO com Boti Baby!;1,221441462;58441;11761;960;17;0,201245701;0,081625712;0,001445455;3;2021;202103;Infantil;Lucro Extra;25% Lucro Total;202103_16_COM_LCT_INFA_CIDAD_MTCRIANCA_VND_INF
